pmid	filename	label	offset1	offset2	span
24677153	pmid-24677153.ann	Disease	11	29	Síndrome de Gorlin
24677153	pmid-24677153.ann	Disease	81	99	sindrome de Gorlin
24677153	pmid-24677153.ann	Disease	101	103	SG
24677153	pmid-24677153.ann	Gene	186	191	PTCH1
24677153	pmid-24677153.ann	Disease	242	266	carcinomas basocelulares
24677153	pmid-24677153.ann	Disease	276	298	anomalias esqueleticas
24677153	pmid-24677153.ann	Disease	300	328	queratoquistes odontogenicos
24677153	pmid-24677153.ann	Disease	331	353	tumores intracraneales
24677153	pmid-24677153.ann	Disease	410	422	ataxia aguda
24677153	pmid-24677153.ann	Disease	462	480	retraso psicomotor
24677153	pmid-24677153.ann	Disease	527	529	SG
24677153	pmid-24677153.ann	Disease	546	560	quiste maxilar
24677153	pmid-24677153.ann	Disease	592	604	macrocefalia
24677153	pmid-24677153.ann	Disease	629	634	hiper
24677153	pmid-24677153.ann	Disease	637	639	or
24677153	pmid-24677153.ann	Disease	692	694	SG
24677153	pmid-24677153.ann	DNAMutation	729	738	c.930delC
24677153	pmid-24677153.ann	Gene	760	765	PTCH1
24677153	pmid-24677153.ann	Disease	804	806	SG
24677153	pmid-24677153.ann	Disease	861	885	carcinomas basocelulares
24677153	pmid-24677153.ann	Disease	1056	1078	tumores intracraneales
24677153	pmid-24677153.ann	Disease	1100	1114	meduloblastoma
24677153	pmid-24677153.ann	Disease	1148	1176	queratoquistes odontogenicos
24677153	pmid-24677153.ann	Disease	1184	1205	alteraciones cutaneas
24677153	pmid-24677153.ann	Disease	1207	1236	fibromas cardiacos y ovaricos
24677153	pmid-24677153.ann	Disease	1247	1269	anomalias esqueleticas
24677153	pmid-24677153.ann	Disease	1404	1406	SG
25005318	pmid-25005318.ann	Disease	34	54	sindrome cri du chat
25005318	pmid-25005318.ann	Disease	126	146	sindrome cri du chat
25005318	pmid-25005318.ann	Disease	148	152	SCDC
25005318	pmid-25005318.ann	OtherMutation	177	181	dele
25005318	pmid-25005318.ann	OtherMutation	186	233	parcial o total del brazo corto del cromosoma 5
25005318	pmid-25005318.ann	Disease	251	254	sin
