pmid	filename	label	offset1	offset2	span
12626442	pmid-12626442.ann	Gene	32	35	C4B
12626442	pmid-12626442.ann	Disease	99	117	infecciones graves
12626442	pmid-12626442.ann	Disease	237	263	inmunidad innata y humoral
12626442	pmid-12626442.ann	Disease	307	318	infecciones
12626442	pmid-12626442.ann	Gene	380	383	C4B
12626442	pmid-12626442.ann	Disease	413	434	meningitis recurrente
12626442	pmid-12626442.ann	Disease	436	464	fístulas crónicas y abscesos
12626442	pmid-12626442.ann	Gene	542	549	gen C4B
12626442	pmid-12626442.ann	Gene	584	591	gen C4B
12626442	pmid-12626442.ann	Gene	595	602	gen C4A
12626442	pmid-12626442.ann	Gene	674	677	C4B
12626442	pmid-12626442.ann	Gene	685	692	gen C4A
12626442	pmid-12626442.ann	Gene	1108	1114	gen C4
12626442	pmid-12626442.ann	Gene	1169	1172	C4B
12626442	pmid-12626442.ann	Disease	1235	1269	infecciones recurrentes y crónicas
12631337	pmid-12631337.ann	Gene	63	68	IL-1A
12631337	pmid-12631337.ann	Disease	73	98	enfermedad renal terminal
12631337	pmid-12631337.ann	Gene	114	123	IL-1 alfa
12631337	pmid-12631337.ann	Gene	237	248	IL-1A 3'UTR
12631337	pmid-12631337.ann	Disease	273	298	enfermedad renal terminal
12631337	pmid-12631337.ann	Disease	300	303	ERT
12631337	pmid-12631337.ann	Disease	316	331	diabetes tipo 2
12631337	pmid-12631337.ann	Disease	333	335	DM
12631337	pmid-12631337.ann	Disease	353	361	diabetes
12631337	pmid-12631337.ann	Gene	423	428	IL-1A
12631337	pmid-12631337.ann	Disease	720	729	ERT de DM
12631337	pmid-12631337.ann	Disease	836	839	ERT
12631337	pmid-12631337.ann	Gene	973	984	IL-1A 3'UTR
12631337	pmid-12631337.ann	Gene	1014	1023	IL-1 alfa
12631337	pmid-12631337.ann	Gene	1257	1262	IL-1A
12631337	pmid-12631337.ann	Gene	1311	1320	IL-1 alfa
12631337	pmid-12631337.ann	Gene	1460	1468	TN7TTCAA
12631337	pmid-12631337.ann	Disease	1666	1675	ERT de DM
12631337	pmid-12631337.ann	Disease	1711	1720	ERT no-DM
12631337	pmid-12631337.ann	Gene	1851	1860	IL-1 alfa
12631337	pmid-12631337.ann	Gene	1971	1974	TN7
12631337	pmid-12631337.ann	Gene	2019	2028	IL-1 alfa
12631337	pmid-12631337.ann	Gene	2081	2084	TN7
12631337	pmid-12631337.ann	Gene	2133	2142	IL-1 alfa
12631337	pmid-12631337.ann	Disease	2164	2167	ERT
12636044	pmid-12636044.ann	Gene	56	67	gen CACNA1S
12636044	pmid-12636044.ann	Gene	128	139	gen CACNA1S
12636044	pmid-12636044.ann	Disease	280	299	hipertermia maligna
12636044	pmid-12636044.ann	Disease	302	336	parálisis periódica hipopotasémica
12636044	pmid-12636044.ann	Disease	740	755	heterocigosidad
12650796	pmid-12650796.ann	Gene	11	17	Card15
12650796	pmid-12650796.ann	Disease	23	42	enfermedad de Crohn
12650796	pmid-12650796.ann	Gene	107	115	3020insC
12650796	pmid-12650796.ann	Gene	189	195	CARD15
12650796	pmid-12650796.ann	Disease	236	255	enfermedad de Crohn
12650796	pmid-12650796.ann	Disease	257	259	EC
12650796	pmid-12650796.ann	Gene	415	421	CARD15
12650796	pmid-12650796.ann	Gene	448	454	CARD15
12650796	pmid-12650796.ann	Disease	552	586	enfermedad inflamatoria intestinal
12650796	pmid-12650796.ann	Disease	588	591	EII
12650796	pmid-12650796.ann	Disease	684	687	EII
12650796	pmid-12650796.ann	Disease	788	790	EC
12650796	pmid-12650796.ann	Disease	806	822	colitis ulcerosa
12650796	pmid-12650796.ann	Disease	824	826	CU
12650796	pmid-12650796.ann	Gene	1085	1100	CARD15 3020insC
12650796	pmid-12650796.ann	Gene	1269	1275	CARD15
12650796	pmid-12650796.ann	Disease	1325	1327	EC
12650796	pmid-12650796.ann	Disease	1342	1344	CU
12650796	pmid-12650796.ann	Disease	1461	1463	EC
12650796	pmid-12650796.ann	Gene	1486	1501	CARD15 3020insC
12650796	pmid-12650796.ann	Disease	1543	1545	EC
12650796	pmid-12650796.ann	Disease	1591	1594	EII
12653841	pmid-12653841.ann	Gene	153	156	C6D
12653841	pmid-12653841.ann	Gene	304	307	C6D
12653841	pmid-12653841.ann	Disease	451	473	Neisseria meningitidis
12653841	pmid-12653841.ann	Disease	490	529	glomeruloesclerosis focal y segmentaria
12653841	pmid-12653841.ann	Disease	534	544	hialinosis
12653841	pmid-12653841.ann	Disease	556	583	lupus eritematoso sistémico
12653841	pmid-12653841.ann	Disease	596	615	enfermedad de Still
12653841	pmid-12653841.ann	Gene	671	673	C6
12661032	pmid-12661032.ann	Gene	111	119	12661032
12661032	pmid-12661032.ann	Gene	849	853	KLF5
12661032	pmid-12661032.ann	Disease	1238	1256	cáncer de próstata
12661032	pmid-12661032.ann	Disease	1471	1489	cáncer de próstata
12661032	pmid-12661032.ann	Disease	1810	1828	cáncer de próstata
12661032	pmid-12661032.ann	Gene	1917	1921	KLF5
12661032	pmid-12661032.ann	Gene	2019	2023	KLF5
12661032	pmid-12661032.ann	Disease	2563	2581	cáncer de próstata
12661032	pmid-12661032.ann	Gene	2674	2678	KLF5
12661032	pmid-12661032.ann	Disease	2674	2678	eliminación homocigota
12661032	pmid-12661032.ann	Disease	2685	2703	cáncer de próstata
12661032	pmid-12661032.ann	Gene	2685	2703	KLF5
12661032	pmid-12661032.ann	Gene	2685	2703	KLF5
12661032	pmid-12661032.ann	Disease	2685	2703	cáncer de próstata
12661032	pmid-12661032.ann	Gene	2685	2703	KLF5
12661032	pmid-12661032.ann	Gene	2685	2703	KLF5
12661032	pmid-12661032.ann	Gene	2685	2703	KLF5
12661032	pmid-12661032.ann	Gene	2685	2703	KLF5
12661032	pmid-12661032.ann	Gene	2685	2703	KLF5
12661032	pmid-12661032.ann	Disease	2685	2703	cáncer de próstata
12661032	pmid-12661032.ann	Gene	2685	2703	KLF5
12661032	pmid-12661032.ann	Disease	2685	2703	cáncer de próstata
12668354	pmid-12668354.ann	Gene	615	623	5-HTTLPR
12668354	pmid-12668354.ann	Gene	681	685	DRD4
12668354	pmid-12668354.ann	Gene	716	720	COMT
12668354	pmid-12668354.ann	Gene	716	720	MAO(A)
12668354	pmid-12668354.ann	Gene	1190	1198	5-HTTLPR
12668354	pmid-12668354.ann	Gene	1200	1204	DRD4
12668354	pmid-12668354.ann	Gene	1206	1210	COMT
12668354	pmid-12668354.ann	Gene	1206	1210	MAO(A)
12668354	pmid-12668354.ann	Gene	1489	1497	5-HTTLPR
12668354	pmid-12668354.ann	Gene	1673	1677	DRD4
12668354	pmid-12668354.ann	Gene	1679	1683	COMT
12668354	pmid-12668354.ann	Gene	1679	1683	MAO(A)
12668354	pmid-12668354.ann	Gene	1781	1789	5-HTTLPR
12668354	pmid-12668354.ann	Gene	2060	2068	5-HTTLPR
12668354	pmid-12668354.ann	Disease	2074	2103	trastorno obsesivo-compulsivo
12668354	pmid-12668354.ann	Disease	2109	2116	autismo
12668609	pmid-12668609.ann	Disease	92	101	Alzheimer
12668609	pmid-12668609.ann	Disease	170	179	Alzheimer
12668609	pmid-12668609.ann	Disease	181	183	EA
14510916	pmid-14510916.ann	Disease	67	131	diabetes insípida neurohipofisaria autosómica dominante familiar
14510916	pmid-14510916.ann	Disease	232	296	diabetes insípida neurohipofisaria autosómica dominante familiar
14510916	pmid-14510916.ann	Disease	325	350	diabetes insípida central
14510916	pmid-14510916.ann	Disease	352	354	DI
14510916	pmid-14510916.ann	Gene	424	432	AVP-NPII
14510916	pmid-14510916.ann	Gene	536	544	AVP-NPII
14510916	pmid-14510916.ann	Gene	982	990	AVP-NPII
14510916	pmid-14510916.ann	Disease	1291	1307	DI central grave
14510916	pmid-14510916.ann	Gene	1464	1472	AVP-NPII
14510916	pmid-14510916.ann	Gene	1687	1695	AVP-NPII
14722925	pmid-14722925.ann	Gene	102	108	SPINK1
14722925	pmid-14722925.ann	Disease	117	154	pancreatitis familiar y/o hereditaria
14722925	pmid-14722925.ann	Gene	274	280	SPINK1
14722925	pmid-14722925.ann	Disease	381	401	pancreatitis crónica
14722925	pmid-14722925.ann	Disease	721	733	pancreatitis
14722925	pmid-14722925.ann	Gene	825	831	SPINK1
14722925	pmid-14722925.ann	Gene	906	912	SPINK1
14722925	pmid-14722925.ann	Disease	1586	1607	pancreatitis familiar
