pmid	filename	label	offset1	offset2	span
12626442	pmid-12626442.ann	Gene	32	35	C4B
12626442	pmid-12626442.ann	Gene	380	383	C4B
12626442	pmid-12626442.ann	Disease	413	434	meningitis recurrente
12626442	pmid-12626442.ann	Disease	436	453	fístulas crónicas
12626442	pmid-12626442.ann	Disease	456	464	abscesos
12626442	pmid-12626442.ann	Disease	469	486	cromosoma materno
12626442	pmid-12626442.ann	Gene	542	549	gen C4B
12626442	pmid-12626442.ann	Gene	584	591	gen C4B
12626442	pmid-12626442.ann	Gene	595	602	gen C4A
12626442	pmid-12626442.ann	Disease	609	626	cromosoma paterno
12626442	pmid-12626442.ann	Gene	674	677	C4B
12626442	pmid-12626442.ann	Gene	685	692	gen C4A
12626442	pmid-12626442.ann	Gene	954	957	MBL
12626442	pmid-12626442.ann	Gene	999	1002	MBL
12626442	pmid-12626442.ann	Gene	1108	1114	gen C4
12626442	pmid-12626442.ann	Gene	1169	1172	C4B
12626442	pmid-12626442.ann	Gene	1199	1202	MBL
12626442	pmid-12626442.ann	Disease	1235	1269	infecciones recurrentes y crónicas
12631337	pmid-12631337.ann	Gene	63	68	IL-1A
12631337	pmid-12631337.ann	Disease	73	98	enfermedad renal terminal
12631337	pmid-12631337.ann	Gene	114	123	IL-1 alfa
12631337	pmid-12631337.ann	Gene	237	242	IL-1A
12631337	pmid-12631337.ann	Disease	273	298	enfermedad renal terminal
12631337	pmid-12631337.ann	Disease	300	303	ERT
12631337	pmid-12631337.ann	Disease	316	331	diabetes tipo 2
12631337	pmid-12631337.ann	Disease	333	335	DM
12631337	pmid-12631337.ann	Disease	353	361	diabetes
12631337	pmid-12631337.ann	Disease	363	368	no-DM
12631337	pmid-12631337.ann	Gene	423	434	IL-1A 3'UTR
12631337	pmid-12631337.ann	Disease	679	682	ERT
12631337	pmid-12631337.ann	Disease	720	723	ERT
12631337	pmid-12631337.ann	Disease	727	729	DM
12631337	pmid-12631337.ann	Disease	836	839	ERT
12631337	pmid-12631337.ann	Disease	843	852	DM tipo 2
12631337	pmid-12631337.ann	Disease	892	895	ERT
12631337	pmid-12631337.ann	Gene	973	984	IL-1A 3'UTR
12631337	pmid-12631337.ann	Gene	1014	1023	IL-1 alfa
12631337	pmid-12631337.ann	Gene	1257	1262	IL-1A
12631337	pmid-12631337.ann	Disease	1277	1280	ERT
12631337	pmid-12631337.ann	Gene	1311	1320	IL-1 alfa
12631337	pmid-12631337.ann	Disease	1666	1669	ERT
12631337	pmid-12631337.ann	Disease	1673	1675	DM
